label,precision,recall,f1-score,support
Account,0.9092465753424658,0.7324137931034482,0.8113063407181055,1450.0
Billing,0.38898652606912715,0.9984962406015038,0.5598650927487352,665.0
General Query,0.8619841966637402,0.7942080569487138,0.8267093297406534,6181.0
Technical Issue,0.7719120135363791,0.7064106534530814,0.7377102199223803,3229.0
accuracy,0.7736225596529284,0.7736225596529284,0.7736225596529284,0.7736225596529284
macro avg,0.733032327902928,0.8078821860266868,0.7338977457824686,11525.0
weighted avg,0.8154023241102031,0.7736225596529284,0.7844391451605645,11525.0
